date,time,description,place,raw
2018-09-05,5:30pm (ET),Global Film Premiere,"Landmark Theatre (E-Street) 555 11th St. NW, Washington D.C. 20004, USA","September 5, 2018 at 5:30pm (ET), Landmark Theatre (E-Street) 555 11th St. NW, Washington D.C. 20004"
2018-09-07,5:00pm (ET),MIT Media Lab,"Cambridge, MA, USA","September 7, 2018 @ 5:00pm (ET) (Sold Out), MIT Media Lab, Cambridge, MA"
2018-10-15,4:00pm,UC Berkeley Morrison Library,"Berkeley, CA, USA","UC Berkeley Morrison Library, Berkeley, CA (staff only not for public)","October 15, 2018 at 4:00pm (staff only not for public), UC Berkeley Morrison Library, Berkeley, CA"
2018-10-22,,United Nations Headquarters,"UN Headquarters, New York City, NY, USA","October 22, 2018, United Nations Headquarters, New York City"
2019-10-24,5:30pm,"University of Arkansas, Union Theatre","University of Arkansas, Fayetteville, AR, USA","October 25, 2018, University of Arkansas, Union Theater, Fayetteville, AR"
2018-10-25,,"University of California, San Diego","La Jolla, CA, USA","October 25, 2018, University of California, San Diego, La Jolla, CA"
2018-11-29,,Cornell University,"Ithaca, NY, USA","November 29, 2018 at 4:00pm, Cornell University, Ithaca, NY"
,,University of Miami,"University of Miami, Coral Gables, FL, USA",
,,Indiana University,"Indiana University, Bloomington, IN, USA",
,,Temple University,"Temple University, Philadelphia, PA, USA",
,,Penn State,"Penn State, University Park, PA, USA",
,,Virginia Tech,"Virginia Tech, Blacksburg, VA, USA",
,,University of Denver,"University of Denver, Denver, CO, USA",
,,Johns Hopkins University-Homewood,"Johns Hopkins University-Homewood, Baltimore, MD, USA",
,,Johns Hopkins University East Baltimore Medical Center,"Johns Hopkins University East Baltimore Medical Center, Baltimore, MD, USA",
,,Sonoma State University,"Sonoma State University, Rohnert Park, CA, USA",
,,UC Berkeley Transparency in the Social Sciences,"UC Berkeley, Berkeley, CA, USA",
,,California Institute of Technology,"California Institute of Technology, Pasadena, CA, USA",
,,Dartmouth College,"Dartmouth College, Hanover, NH, USA",
,,Texas A&M University,"Texas A&M University, College Station, TX, USA",
,,New York Medical College,"New York Medical College, Valhalla, NY, USA",
,,Hofstra University,"Hofstra University, Long Island, NY, USA",
,,University of Iowa,"University of Iowa, Iowa City, IA, USA",
,,Carnegie Mellon University,"Carnegie Mellon University, Pittsburgh, PA, USA",
,,City University of New York (CUNY),"CUNY, New York City, NY, USA",
,,University of Virginia,"University of Virginia, Charlottesville, VA, USA",
,,Duke University,"Duke University, Durham, NC, USA",
,,University of Rochester,"University of Rochester, Rochester, NY, USA",
,,Davidson College,"Davidson College, Davidson, NC, USA",
,,UCLA,"UCLA, Los Angeles, CA, USA",
,,Bates College,"Bates College, Lewiston, ME, USA",
,,Miami University,"Miami University, Oxford, OH, USA",
,,Brown University,"Brown University, Providence, RI, USA",
,,New York University (NYU),"NYU, New York, NY, USA",
,,Virginia Commonwealth University,"Virginia Commonwealth University, Richmond, VA, USA",
,,Colorado State University,"Colorado State University, Fort Collins, CO, USA",
,,University of Texas Rio Grande Valley,"University of Texas Rio Grande Valley, Edinburg, TX, USA",
,,Old Dominion University,"Old Dominion University, Norfolk, VA, USA",
,,University of Colorado--Colorado Springs,"University of Colorado, Colorado Springs, CO, USA",
,,George Mason University,"George Mason University, Fairfax, VA, USA",
,,University of Colorado Health Sciences Library,"University of Colorado, Aurora, CO, USA",
,,Gustavus Adolphus College,",Gustavus Adolphus College, St Peter, MN, USA",
,,University of Nevada,"University of Nevada, Las Vegas​, NV, USA",
,,University of North Texas,"University of North Texas, Denton, TX, USA",
,,Belmont University,"Belmont University, Nashville, TN, USA",
,,University of California Irvine,"University of California Irvine, Irvine, CA, USA",
,,University of South Carolina,"University of South Carolina, Columbia, SC, USA",
,,University of San Francisco,"University of San Francisco, San Francisco, CA, USA",
,,The College at Brockport (SUNY),"The College at Brockport (SUNY), Brockport, NY, USA",
,,Seton Hall University,"Seton Hall University,South Orange, NJ, USA",
,,NYU Health Sciences Library,"NYU, New York, NY, USA",
,,University of Texas at Arlington,"University of Texas at Arlington, Arlington, TX, USA",
,,UNC-Chapel Hill,"UNC, Chapel Hill, NC, USA",
,,College of William & Mary,"College of William & Mary, Williamsburg, VA, USA",
,,University of Wisconsin-Madison,"University of Wisconsin-Madison, Madison, WI, USA",
,,Boston University,"Boston University, Boston, MA, USA",
,,Columbia University,"Columbia University, New York, NY, USA",
,,University of Colorado Boulder,"University of Colorado Boulder, Boulder, CO, USA",
,,Claremont College,"Claremont College, Claremont, CA, USA",
,,Swarthmore College,"Swarthmore College, Swarthmore, PA, USA",
,,Farmingdale State College,"Farmingdale State College, Farmingdale, NY, USA",
,,Portland State University,"Portland State University, Portland, OR, USA",
,,Whitman College,"Whitman College, Walla Walla, WA, USA",
,,LaGuardia Community College,"LaGuardia Community College, Long Island City, NY, USA",
,,Washburn University,"Washburn University, Topeka, KS, USA",
,,California State University--Fresno,"California State University, Fresno, CA, USA",
,,Gettysburg College,"Gettysburg College, Gettysburg, PA, USA",
,,University of Iowa,"University of Iowa, Iowa City, IA, USA",
,,Ohio State University,"Ohio State University, Columbus, OH, USA",
,,University of Washington,"University of Washington, Seattle, WA, USA",
,,Florida State University,"Florida State University, Tallahassee, FL, USA",
,,University of Notre Dame,"University of Notre Dame, Notre Dame, IN, USA",
,,West Chester University,"West Chester University, West Chester, PA, USA",
,,Arizona State University,"Arizona State University, Phoenix, AZ, USA",
,,Trinity University,"Trinity University, San Antonio, TX, USA",
,,Penn State Berks,"Penn State Berks, Spring Township, PA, USA",
,,University of Nebraska Lincoln,"University of Nebraska Lincoln, Lincoln, NE, USA",
,,Sacramento State University,"Sacramento State University, Sacramento, CA, USA",
,,Clemson University,"Clemson University, Clemson, South Carolina, USA",
,,Mississippi State University,"Mississippi State University, Starkville, Mississippi, USA",
,,Old Dominion University,"Old Dominion University, Norfolk, VA, USA",
,,Depauw University,"Depauw University, Greencastle, IN, USA",
,,Mercer University,"Mercer University, Macon, GA, USA",
,,Oakland University,"Oakland University, Rochester, MI, USA",
,,University of Kansas Medical Center,"University of Kansas Medical Center, Kansas City, KS, USA",
,,University of New Hampshire,"University of New Hampshire, Durham, NH, USA",
,,University of Hawaii,"University of Hawaii, West Oahu, HI, USA",
,,Northeastern Illinois University,"Northeastern Illinois University, Chicago, IL, USA",
2018-10-26,,"Western University, University's McKellar Room theatre","Western University, London, Ontario, Canada","October 26, 2018, Western University, University's McKellar Room theatre, London, Ontario"
2018-10-27,,McGill University,"McGill University, Montreal, Quebec, Canada","October 27, 2018, McGill University, Montreal, Quebec"
,,University of Guelph,"University of Guelph, Guelph, Ontario, Canada",
,,University of Winnipeg,"University of Winnipeg, Winnipeg, Manitoba, Canada",
,,University of Ottawa,"University of Ottawa, Ottawa, Ontario, Canada",
,,University of Waterloo,"University of Waterloo, Waterloo, Ontario, Canada",
,,Royal Roads University,"Royal Roads University, Victoria, British Columbia, Canada",
,,École nationale d'administration publique,"École nationale d'administration publique, Quebec City, Quebec, Canada",
,,MacEwan University,"MacEwan University, Edmonton, Alberta, Canada",
,,University of Victoria,"University of Victoria, Victoria, BC, Canada",
,,University of Regina,"University of Regina, Regina, Saskatchewan, Canada",
,,University of Northern British Columbia,"University of Northern British Columbia, Prince George, BC, Canada",
,,Simon Fraser University,"Simon Fraser University, Burnaby, BC, Canada",
,,Université du Québec à Montréal","Université du Québec à Montréal, Montréal, Canada",
,,Northern Alberta Institute of Technology,"Northern Alberta Institute of Technology, Edmonton, Canada",
,,University of Saskatchewan,"University of Saskatchewan, Saskatoon, Canada",
,,University of Lethbridge,"University of Lethbridge, Lethbridge, Alberta, Canada",
,,Concordia University,"Concordia University, Montreal, Quebec, Canada",
,,Université Laval,"Université Laval, Québec, Canada",
2018-10-09,,Erasmus University,"Erasmus University, Rotterdam, Netherlands","October 9, 2018, Erasmus University, Rotterdam, The Netherlands"
2018-10-23,18:15,University of Münster,"Johannisstraße 1, 48143 Münster","October 23, 2018 at 18:15 at lecture hall J1, Johannisstraße 1, 48143 Münster, University of Münster, Germany"
2018-10-24,6:30pm,QNL Auditorium,"Qatar National Library, Doha, Qatar","October 24, 2018 at 6:30pm at QNL Auditorium, Qatar National Library, Doha, Qatar"
2018-10-25,,University of Vienna,"Skylounge, Oskar Morgenstern-Platz 1, 1090 Vienna","October 25, 2018 at Skylounge, Oskar Morgenstern-Platz 1, 1090 Vienna, University of Vienna, Vienna, Austria"
2018-10-26,,University of Western Cape,"Western Cape, Cape Town, South Africa","October 26, 2018, Western Cape, Cape Town, South Africa"
,,Imperial College,"Imperial College, London, UK",
,,FOAM Laboratory Studio,"FOAM Laboratory Studio, Penryn, UK",
,,Cranfield University,"Cranfield University, Bedford, UK",
,,Brunel University London,"Brunel University London, Uxbridge, UK",
,,University of Manchester Library,"University of Manchester Library, Manchester, UK",
